Date,Open,High,Low,Close,Volume
2023-08-15,68.43,70.59,66.89,68.25,35138301
2023-08-16,69.92,71.79,66.21,68.12,37218485
2023-08-17,70.16,72.47,67.55,69.64,20561028
2023-08-18,67.97,70.84,66.55,68.10,20911168
2023-08-21,69.73,72.29,64.13,68.49,37852867
2023-08-22,69.46,72.01,66.74,69.50,27773615
2023-08-23,70.89,72.62,67.68,69.34,44864526
2023-08-24,69.03,69.90,67.50,68.33,34606379
2023-08-25,67.32,70.78,65.59,68.49,46564755
2023-08-28,70.32,71.44,68.84,70.64,47771357
2023-08-29,70.29,72.94,66.94,70.44,42613914
2023-08-30,71.30,72.18,69.38,70.17,24127429
2023-08-31,70.27,74.47,67.12,69.83,48631172
2023-09-01,68.79,72.02,64.54,68.61,34347318
2023-09-04,71.27,73.03,69.87,71.66,40272538
2023-09-05,69.62,72.36,67.76,69.16,31076704
2023-09-06,70.10,72.62,67.95,70.69,21728167
2023-09-07,70.64,74.30,67.03,70.86,26832993
2023-09-08,71.40,73.48,69.30,71.21,39930195
2023-09-11,72.19,73.41,70.14,71.27,28627345
2023-09-12,70.35,73.91,67.79,71.14,47446151
2023-09-13,71.74,74.66,69.60,72.11,25861713
2023-09-14,71.73,72.75,70.16,71.43,32412901
2023-09-15,70.40,74.20,67.23,70.50,48475876
2023-09-18,70.95,72.12,70.32,71.17,47454755
2023-09-19,72.16,75.11,69.50,72.08,30220866
2023-09-20,71.61,73.72,69.62,71.65,32101688
2023-09-21,72.64,75.75,69.82,72.13,22266027
2023-09-22,75.52,77.45,71.79,73.42,43507935
2023-09-25,71.12,74.54,67.74,71.73,27765560
2023-09-26,71.42,73.15,69.67,71.05,33582334
2023-09-27,72.49,74.58,70.57,72.63,39189770
2023-09-28,74.57,76.32,70.97,73.96,37011116
2023-09-29,73.84,76.09,70.07,73.41,30631587
2023-10-02,74.75,77.10,72.60,74.25,34710980
2023-10-03,74.09,77.06,71.90,74.40,27351770
2023-10-04,71.74,74.92,70.07,72.32,48947474
2023-10-05,74.18,76.68,72.54,74.11,46552273
2023-10-06,74.57,76.98,72.83,74.40,27193603
2023-10-09,73.02,76.32,71.19,73.28,30315755
2023-10-10,72.71,76.63,69.71,73.45,40990272
2023-10-11,72.74,76.68,69.87,73.96,44746763
2023-10-12,73.94,78.02,71.01,74.22,41481091
2023-10-13,72.36,74.64,70.12,73.27,37397756
2023-10-16,74.56,78.74,71.03,74.71,32701689
2023-10-17,73.55,74.49,71.78,73.70,45529492
2023-10-18,74.75,76.26,72.69,74.05,42899718
2023-10-19,73.97,75.90,72.33,73.59,48729515
2023-10-20,75.46,78.12,74.02,75.79,24647987
2023-10-23,73.94,76.31,72.46,73.88,40694150
2023-10-24,74.50,78.48,72.22,76.15,33313834
2023-10-25,75.65,79.70,72.91,76.01,30529303
2023-10-26,74.96,76.53,74.26,75.37,40277094
2023-10-27,74.54,77.24,71.32,74.41,31328046
2023-10-30,75.39,76.71,74.17,75.71,31288757
2023-10-31,75.29,78.39,71.74,75.33,42857309
2023-11-01,76.37,78.53,74.20,77.51,37541997
2023-11-02,77.20,79.27,73.68,76.66,29850054
2023-11-03,78.16,80.01,74.29,75.90,25081530
2023-11-06,76.63,80.11,72.52,76.17,23884722
2023-11-07,76.59,77.79,73.82,75.98,31599845
2023-11-08,74.30,77.90,71.76,75.89,45997888
2023-11-09,74.91,78.53,71.70,76.51,43052185
2023-11-10,78.37,79.63,76.55,78.16,40159068
2023-11-13,79.54,81.46,75.37,78.40,28184451
2023-11-14,75.87,77.95,73.94,76.47,49726614
2023-11-15,76.87,79.99,73.76,76.05,29739495
2023-11-16,78.00,80.33,73.52,76.15,44341127
2023-11-17,79.12,82.60,76.02,78.89,42590562
2023-11-20,81.18,82.96,77.08,78.68,43100679
2023-11-21,76.11,80.54,74.18,76.61,40631454
2023-11-22,77.55,80.24,75.68,78.12,24120200
2023-11-23,77.02,80.61,74.54,76.82,29553339
2023-11-24,77.81,79.75,75.08,77.98,22137373
2023-11-27,80.35,81.97,77.18,79.21,36989842
2023-11-28,76.88,78.37,76.23,77.30,33107649
2023-11-29,76.37,78.63,75.25,77.37,36663306
2023-11-30,77.31,79.71,76.13,77.61,39686285
2023-12-01,78.26,79.68,76.39,77.44,28145124
2023-12-04,79.71,82.34,77.22,80.59,48229728
2023-12-05,80.99,83.08,78.67,80.39,43406633
2023-12-06,79.81,82.20,76.44,80.46,43770422
2023-12-07,79.48,81.59,78.05,80.30,46602430
2023-12-08,80.20,82.24,77.13,79.26,22909027
2023-12-11,81.05,84.28,79.52,81.91,45402162
2023-12-12,80.11,82.33,78.40,80.90,23024028
2023-12-13,79.22,85.11,76.08,81.30,30959765
2023-12-14,81.02,83.80,78.09,81.76,35704880
2023-12-15,84.50,87.14,78.39,82.17,28270609
2023-12-18,83.66,87.08,79.97,83.20,25924168
2023-12-19,83.61,84.74,81.59,83.68,45343626
2023-12-20,82.78,85.30,79.77,81.59,20920782
2023-12-21,81.20,85.30,79.36,81.77,41397551
2023-12-22,81.80,87.71,78.53,82.39,47677250
2023-12-25,81.73,86.01,79.49,84.01,22487684
2023-12-26,85.52,87.35,83.29,84.84,30680268
2023-12-27,82.92,86.10,81.45,83.80,31110819
2023-12-28,82.53,85.06,81.00,83.46,29482718
2023-12-29,82.10,84.26,80.96,83.28,48885921
2024-01-01,84.24,88.32,81.86,84.27,22315123
2024-01-02,85.03,86.72,83.74,85.12,32939638
2024-01-03,83.82,85.43,82.03,84.55,44718975
2024-01-04,86.60,89.08,81.24,85.76,37787440
2024-01-05,86.55,88.90,82.29,84.89,33592855
2024-01-08,84.09,85.84,82.64,84.43,37661791
2024-01-09,84.01,86.73,82.31,85.50,27215170
2024-01-10,86.66,88.80,83.63,86.34,46446616
2024-01-11,89.38,92.09,83.14,86.74,48836716
2024-01-12,87.50,89.61,84.40,86.55,38387456
2024-01-15,85.80,88.12,84.78,85.98,25221260
2024-01-16,83.91,88.66,81.04,86.30,22707699
2024-01-17,86.34,87.89,84.42,86.63,32965245
2024-01-18,87.31,90.87,84.59,86.90,40876711
2024-01-19,85.46,87.13,83.37,85.95,41282387
2024-01-22,88.42,90.05,84.81,88.18,29488941
2024-01-23,86.13,91.91,83.29,87.08,38571880
2024-01-24,88.72,91.68,85.17,88.04,46992954
2024-01-25,91.55,94.88,87.05,90.17,34368725
2024-01-26,88.24,91.95,83.75,88.07,37108277
2024-01-29,87.34,91.56,84.11,88.24,47522505
2024-01-30,89.09,96.05,85.83,90.74,43678398
2024-01-31,88.55,92.14,85.81,89.75,45463254
2024-02-01,89.27,91.15,88.10,89.07,42265795
2024-02-02,89.28,91.89,86.99,89.84,33679324
2024-02-05,90.63,93.44,86.74,89.38,28808029
2024-02-06,91.89,94.41,88.21,90.27,36031599
2024-02-07,91.42,93.24,88.57,91.71,39619817
2024-02-08,90.79,93.17,85.91,89.35,46464933
2024-02-09,91.51,94.76,88.92,91.33,27549293
2024-02-12,92.70,95.51,90.26,92.30,44213298
2024-02-13,89.66,91.42,87.18,90.18,35635518
2024-02-14,91.84,95.07,88.94,92.82,21282752
2024-02-15,91.79,93.76,88.40,91.14,22008163
2024-02-16,92.18,94.02,90.29,92.45,38502379
2024-02-19,91.89,95.07,90.42,92.39,36871029
2024-02-20,93.45,98.08,90.38,93.51,42145801
2024-02-21,91.30,93.38,90.05,92.24,49314020
2024-02-22,93.69,96.40,90.26,93.80,24131761
2024-02-23,94.40,96.43,93.43,94.94,26663133
2024-02-26,94.92,99.78,92.19,94.46,21484628
2024-02-27,94.47,98.60,92.53,95.19,27352430
2024-02-28,94.03,98.30,92.00,94.99,41595117
2024-02-29,95.63,96.78,93.09,95.79,29497110
2024-03-01,97.91,100.23,94.65,96.72,28519690
2024-03-04,99.86,103.07,96.54,98.27,36716199
2024-03-05,98.23,100.16,96.74,98.76,44205469
2024-03-06,97.04,101.27,92.28,98.03,38188573
2024-03-07,100.06,102.46,95.54,99.81,20165882
2024-03-08,98.81,101.87,94.56,99.02,47738897
2024-03-11,103.52,107.97,95.64,102.01,46432130
2024-03-12,99.06,103.32,96.20,99.28,29174197
2024-03-13,100.72,104.12,98.69,101.78,28268974
2024-03-14,101.74,106.13,97.62,101.42,25074857
2024-03-15,104.39,110.19,100.09,104.28,44388239
2024-03-18,103.53,107.86,99.60,103.00,30114486
2024-03-19,104.63,108.27,100.46,103.49,43681349
2024-03-20,107.03,110.41,103.84,106.06,40495688
2024-03-21,106.48,111.94,103.21,107.42,39087297
2024-03-22,106.78,113.36,101.80,107.36,30772544
2024-03-25,106.63,110.35,104.41,108.05,31777562
2024-03-26,111.70,114.63,107.92,110.70,41543235
2024-03-27,111.78,116.39,103.04,109.65,23919827
2024-03-28,111.87,115.54,106.02,109.11,22151281
2024-03-29,108.70,111.84,106.12,109.48,49392987
2024-04-01,113.35,116.82,111.14,114.18,31949018
2024-04-02,113.16,117.03,110.09,113.61,20172455
2024-04-03,112.24,117.72,107.20,114.16,36901736
2024-04-04,113.62,116.92,108.21,112.76,23737826
2024-04-05,113.34,118.56,108.54,113.94,44036552
2024-04-08,118.08,120.88,114.11,116.31,46411434
2024-04-09,118.14,120.88,112.27,115.70,32331831
2024-04-10,120.10,122.30,115.15,118.68,46335358
2024-04-11,115.95,120.88,112.49,117.59,26934981
2024-04-12,117.20,122.93,112.71,120.10,35378038
2024-04-15,120.23,126.10,114.35,120.32,34007957
2024-04-16,120.08,122.15,117.68,119.35,28418237
2024-04-17,120.76,125.16,117.54,121.95,27744282
2024-04-18,124.54,128.39,122.61,124.49,33580826
2024-04-19,125.51,131.01,122.62,125.28,41475441
2024-04-22,124.22,129.22,121.72,125.11,24861949
2024-04-23,127.78,131.20,121.25,125.28,25583688
2024-04-24,125.51,132.67,120.13,124.78,47533668
2024-04-25,126.55,128.24,124.92,126.37,29257512
2024-04-26,132.55,136.33,126.15,129.36,23287025
2024-04-29,128.48,131.24,125.84,129.82,36239624
2024-04-30,129.37,133.84,124.82,128.41,39052229
2024-05-01,132.16,139.24,124.02,131.36,45466550
2024-05-02,129.58,131.78,126.01,127.73,48992591
2024-05-03,129.40,133.65,123.68,129.27,39697611
2024-05-06,130.08,134.43,127.15,129.91,24177252
2024-05-07,135.00,138.99,129.51,134.22,32269540
2024-05-08,137.58,142.68,128.99,136.07,38407589
2024-05-09,134.68,137.82,130.76,134.06,23118057
2024-05-10,135.51,139.46,129.74,132.69,21855722
2024-05-13,134.15,142.19,130.26,137.65,36938018
2024-05-14,134.61,137.38,132.02,135.52,44565626
2024-05-15,136.05,137.94,131.80,134.96,23287382
2024-05-16,139.06,141.16,135.53,138.98,29171835
2024-05-17,137.54,145.73,130.92,138.98,48730111
2024-05-20,141.71,143.37,137.86,141.39,30427356
2024-05-21,140.80,146.88,136.93,139.60,45387315
2024-05-22,142.00,145.30,139.18,141.91,25623685
2024-05-23,142.68,151.02,136.53,144.26,22624325
2024-05-24,147.84,153.50,138.56,144.34,25807560
2024-05-27,143.54,150.96,139.67,146.53,36280340
2024-05-28,148.45,149.96,145.86,147.85,43734148
2024-05-29,144.51,149.58,139.44,144.73,41757566
2024-05-30,150.08,152.77,144.78,147.98,38562711
2024-05-31,145.05,152.92,139.18,145.88,40572383
2024-06-03,145.90,152.07,142.24,149.07,30893897
2024-06-04,150.71,157.07,147.41,151.06,20444740
2024-06-05,152.60,156.62,147.40,151.48,44259676
2024-06-06,148.56,155.91,141.08,148.91,39982653
2024-06-07,148.85,157.14,144.65,150.27,21117767
2024-06-10,149.88,156.51,145.48,150.53,45492170
2024-06-11,152.35,157.24,148.99,152.20,42335515
2024-06-12,155.55,157.90,151.11,154.38,29482702
2024-06-13,151.01,155.53,148.75,152.27,49372469
2024-06-14,152.72,158.56,146.85,153.58,38263156
2024-06-17,157.77,160.35,152.10,157.23,44987036
2024-06-18,155.17,157.69,152.56,154.68,38605875
2024-06-19,157.73,162.28,148.41,155.64,29720341
2024-06-20,154.39,159.33,148.85,154.33,44440781
2024-06-21,148.70,154.58,146.12,151.47,24029706
2024-06-24,151.78,156.89,147.36,153.23,27426092
2024-06-25,146.85,151.93,142.01,149.11,41198903
2024-06-26,148.02,151.38,144.46,148.43,24012978
2024-06-27,145.22,150.27,141.53,145.56,39437695
2024-06-28,149.15,153.83,143.17,147.81,45508626
2024-07-01,145.02,147.60,140.85,145.53,26991153
2024-07-02,140.29,146.15,137.46,142.08,34929457
2024-07-03,143.52,146.69,136.82,140.09,33445089
2024-07-04,137.00,140.18,133.26,136.99,47835478
2024-07-05,136.10,138.20,134.03,136.27,44040610
2024-07-08,135.24,137.86,131.73,135.44,29079844
2024-07-09,133.52,139.92,126.09,133.61,40660118
2024-07-10,136.59,141.74,131.17,135.21,38312900
2024-07-11,132.25,137.74,126.18,133.98,38562627
2024-07-12,135.18,137.83,129.63,133.27,29354024
2024-07-15,128.76,135.36,123.49,129.95,29735020
2024-07-16,124.84,128.22,122.65,124.85,39655952
2024-07-17,127.67,129.86,124.14,127.30,20713814
2024-07-18,125.69,130.24,121.16,126.54,34669633
2024-07-19,123.92,125.99,122.50,123.94,48487454
2024-07-22,121.47,124.63,115.16,120.24,30547668
2024-07-23,120.05,123.23,115.12,120.23,29018716
2024-07-24,115.66,124.64,110.58,117.32,21773125
2024-07-25,115.58,119.48,112.13,116.14,29966724
2024-07-26,112.30,115.42,108.71,113.47,28518536
2024-07-29,110.34,115.42,105.54,111.13,32918258
2024-07-30,112.90,115.56,106.98,110.61,34868667
2024-07-31,108.80,111.95,106.36,109.40,34311099
2024-08-01,109.46,112.06,106.41,109.49,38327214
2024-08-02,107.33,109.76,104.21,107.54,33435160
2024-08-05,107.55,112.83,103.97,106.70,22169554
2024-08-06,108.45,110.28,107.41,108.84,28433137
2024-08-07,106.19,109.99,104.53,107.21,26815918
2024-08-08,104.33,106.76,100.99,105.00,21729511
2024-08-09,104.92,108.39,102.30,105.68,25998561
2024-08-12,104.93,106.20,102.89,104.62,32977077
2024-08-13,102.76,105.80,99.81,103.17,43333137
2024-08-14,99.34,103.22,97.19,101.48,49728707
2024-08-15,99.91,105.33,97.35,101.03,30693109
2024-08-16,100.62,104.76,97.10,101.23,35171150
2024-08-19,102.12,104.82,98.76,101.65,28176010
2024-08-20,96.46,101.06,93.88,98.45,36071035
2024-08-21,96.92,100.27,95.44,98.31,34450687
2024-08-22,101.73,103.93,99.18,101.20,35284014
2024-08-23,98.99,101.37,94.10,97.27,29653344
2024-08-26,97.90,102.91,94.42,98.08,27550774
2024-08-27,99.34,102.79,94.13,98.52,48480938
2024-08-28,95.92,100.84,92.63,98.05,49315618
2024-08-29,97.84,100.07,94.79,96.92,20989610
2024-08-30,96.21,99.81,93.14,95.35,32279478
2024-09-02,98.29,102.14,93.62,96.46,21530582
2024-09-03,94.39,96.24,92.05,94.41,47306329
2024-09-04,97.86,100.15,94.45,96.39,45942769
2024-09-05,94.05,98.02,91.33,94.79,31040298
2024-09-06,97.66,100.53,95.87,97.61,37410948
2024-09-09,97.97,100.90,91.35,96.96,20803865
2024-09-10,96.71,99.47,94.61,96.09,29074879
2024-09-11,97.46,101.53,95.56,98.90,33761370
2024-09-12,97.86,99.83,94.32,97.36,37871106
2024-09-13,97.40,99.87,95.25,97.44,33323927
2024-09-16,99.90,103.71,98.21,100.78,29171231
2024-09-17,100.59,104.68,95.04,100.34,40957521
2024-09-18,98.27,104.09,94.73,100.06,33108073
2024-09-19,98.34,104.72,94.61,101.22,25152201
2024-09-20,99.72,102.52,97.46,100.63,26436098
2024-09-23,102.97,106.15,101.55,103.09,25920654
2024-09-24,103.43,107.33,99.71,103.37,25011006
2024-09-25,103.35,108.46,101.01,104.94,42491382
2024-09-26,103.78,108.60,96.78,103.04,31788863
2024-09-27,103.63,107.37,99.90,105.03,35238042
2024-09-30,104.23,106.76,101.04,103.88,49191362
2024-10-01,103.13,104.81,100.65,103.18,33095779
2024-10-02,105.25,109.40,103.42,106.05,23934854
2024-10-03,102.72,104.48,101.84,103.36,49946369
2024-10-04,104.94,107.62,100.13,104.98,30355005
2024-10-07,105.02,108.85,102.44,105.72,35516015
2024-10-08,101.43,107.02,98.23,103.78,36012120
2024-10-09,106.23,108.42,104.00,106.30,27305880
2024-10-10,103.70,109.37,99.18,105.58,47141835
2024-10-11,102.02,104.75,99.47,103.24,35724529
2024-10-14,103.05,105.41,101.79,103.68,43874877
2024-10-15,104.03,107.82,97.69,103.49,31684410
2024-10-16,104.23,106.15,100.06,102.86,30721848
2024-10-17,100.75,102.74,99.64,101.55,30547976
2024-10-18,103.93,106.49,102.64,105.00,32357122
2024-10-21,103.79,105.92,101.86,103.48,37547371
2024-10-22,105.03,107.65,99.96,103.95,40506398
2024-10-23,103.71,108.45,97.55,103.83,44206934
2024-10-24,105.90,109.74,99.48,104.77,41552477
2024-10-25,102.16,104.76,98.48,102.54,34694128
2024-10-28,101.14,104.62,97.98,100.94,36488391
2024-10-29,100.62,106.90,97.83,101.72,35941391
2024-10-30,104.70,106.98,100.84,102.86,32468125
2024-10-31,101.43,103.55,99.50,101.10,38184149
2024-11-01,101.84,104.78,98.58,102.07,32973927
2024-11-04,101.63,103.79,98.91,101.30,27750760
2024-11-05,101.79,106.06,99.69,102.03,42284506
2024-11-06,103.05,106.20,99.56,102.07,49679937
2024-11-07,104.23,107.80,96.09,101.55,26246746
2024-11-08,99.60,101.37,96.04,98.61,31951465
2024-11-11,98.00,100.40,94.36,97.60,35890028
2024-11-12,98.21,100.85,95.49,99.34,31952563
2024-11-13,98.94,104.29,95.58,99.21,43457886
2024-11-14,98.85,100.45,96.14,98.37,21261512
2024-11-15,97.62,101.55,93.28,97.07,32592596
2024-11-18,100.06,102.99,97.08,98.71,24326849
2024-11-19,94.64,97.16,93.07,95.02,26462104
2024-11-20,96.33,101.02,94.29,98.21,40614253
2024-11-21,98.62,101.05,93.11,97.72,47336575
2024-11-22,93.76,97.95,89.95,95.00,27966899
2024-11-25,94.97,96.80,93.38,94.59,48940293
2024-11-26,95.46,99.46,89.40,94.95,29799459
2024-11-27,91.95,94.04,90.41,92.70,38951624
2024-11-28,94.28,100.26,91.42,94.68,47359685
2024-11-29,92.70,94.63,91.29,92.54,36210941
2024-12-02,93.06,95.54,89.98,93.09,41021104
2024-12-03,91.88,94.86,90.53,93.19,28303137
2024-12-04,90.53,95.55,88.20,92.77,35313749
2024-12-05,91.53,96.70,88.22,92.65,47082236
2024-12-06,92.71,96.36,86.55,91.86,46265195
2024-12-09,89.20,91.84,86.28,89.36,47212974
2024-12-10,90.64,94.79,87.30,91.20,38356764
2024-12-11,86.50,93.36,83.14,88.38,41865894
2024-12-12,90.25,94.29,87.61,90.65,36802833
2024-12-13,90.75,91.71,88.84,89.91,33675337
2024-12-16,88.35,92.04,84.94,88.58,46482819
2024-12-17,88.28,90.89,83.86,86.94,45426149
2024-12-18,89.14,91.98,87.85,88.93,23635280
2024-12-19,89.47,91.29,88.26,89.96,48991767
2024-12-20,86.94,91.20,84.37,88.09,40307015
2024-12-23,89.62,92.07,84.55,88.98,36469628
2024-12-24,87.49,92.52,84.56,89.96,47643393
2024-12-25,90.68,93.67,87.92,91.32,36590783
2024-12-26,90.85,92.15,88.01,89.80,35393295
2024-12-27,93.77,95.59,89.88,92.20,37349523
2024-12-30,93.14,96.96,91.34,93.86,37131550
2024-12-31,95.74,98.38,90.90,95.33,32530326
2025-01-01,93.26,95.52,91.33,94.34,22521414
2025-01-02,94.47,97.26,91.95,94.35,30638558
2025-01-03,93.38,96.47,91.50,95.03,23678037
2025-01-06,97.45,101.92,91.86,97.41,32765952
2025-01-07,100.40,102.97,94.76,97.35,27400414
2025-01-08,95.37,100.24,91.86,95.78,24146644
2025-01-09,96.93,98.40,95.02,96.24,38093509
2025-01-10,97.48,100.25,95.09,97.35,42616233
2025-01-13,98.20,100.19,93.87,98.23,36946023
2025-01-14,99.25,101.20,96.76,99.34,49081483
2025-01-15,100.79,102.73,97.30,100.68,32638234
2025-01-16,98.14,99.69,95.85,98.13,48853026
2025-01-17,96.62,101.97,93.20,98.47,48348433
2025-01-20,99.38,101.86,95.54,98.06,44658303
2025-01-21,101.74,103.51,97.63,100.22,22264502
2025-01-22,96.49,101.95,93.31,98.28,32976318
2025-01-23,98.21,101.55,93.21,99.42,34496721
2025-01-24,97.79,101.31,95.88,97.93,34782705
2025-01-27,99.82,103.02,92.78,98.14,47171989
2025-01-28,101.69,103.14,98.44,100.43,21327016
2025-01-29,99.77,104.89,97.46,99.60,30327024
2025-01-30,95.58,100.31,93.33,97.11,35037827
2025-01-31,99.23,102.51,96.91,99.77,49616318
2025-02-03,99.68,101.08,97.69,99.56,21770078
2025-02-04,97.23,98.64,93.99,96.83,46194568
2025-02-05,97.81,101.22,93.45,99.22,39579181
2025-02-06,101.13,103.15,98.39,100.44,28471552
2025-02-07,97.48,101.34,93.98,96.99,30927371
2025-02-10,97.84,101.08,94.60,97.44,32889418
2025-02-11,99.23,101.82,96.81,99.60,44527764
2025-02-12,97.36,101.32,95.52,98.50,21064161
2025-02-13,96.55,98.45,93.50,96.82,48836167
2025-02-14,95.36,99.64,93.22,96.42,43930397
2025-02-17,95.72,98.60,93.15,96.99,41919824
2025-02-18,100.90,103.87,97.35,99.13,31326657
2025-02-19,99.00,103.40,95.44,99.24,44862633
2025-02-20,97.83,102.99,93.94,98.65,20092399
2025-02-21,97.74,100.00,96.61,98.81,23637281
2025-02-24,98.19,101.45,92.05,95.34,25833270
2025-02-25,96.97,99.78,94.35,97.46,39926959
2025-02-26,98.27,101.19,91.69,95.79,36730360
2025-02-27,99.48,102.74,94.95,98.11,37292253
2025-02-28,99.23,102.36,95.40,98.53,37809158
2025-03-03,94.16,98.69,90.98,95.15,48595807
2025-03-04,99.01,101.96,94.92,97.70,33262633
2025-03-05,94.90,101.55,90.40,95.93,47848186
2025-03-06,95.12,97.88,91.55,94.36,45299160
2025-03-07,93.03,96.92,90.83,94.34,48715147
2025-03-10,94.60,95.67,92.32,93.99,40961771
2025-03-11,96.26,99.88,93.88,96.37,36714377
2025-03-12,94.98,97.19,91.27,94.46,33588703
2025-03-13,93.86,97.12,90.31,93.95,22214547
2025-03-14,92.73,98.33,90.06,95.09,34538211
2025-03-17,92.76,97.90,89.38,94.13,47457173
2025-03-18,90.31,92.39,87.36,89.70,35914315
2025-03-19,89.57,92.39,86.54,90.15,29825853
2025-03-20,89.47,94.02,86.70,89.91,22648984
2025-03-21,87.02,89.04,84.48,86.74,23033607
2025-03-24,83.20,85.32,81.82,84.11,46262736
2025-03-25,83.73,86.84,79.77,84.38,35813066
2025-03-26,84.21,85.64,82.19,83.27,23635722
2025-03-27,80.05,82.25,79.07,80.50,24826217
2025-03-28,78.44,81.45,76.53,78.74,23765552
2025-03-31,74.15,78.39,72.23,74.49,35872525
2025-04-01,74.26,75.47,71.62,73.29,22665707
2025-04-02,73.53,75.31,69.81,72.17,44853050
2025-04-03,74.66,76.70,71.62,73.14,39932364
2025-04-04,70.70,72.59,69.79,71.29,20599195
2025-04-07,75.21,76.94,72.33,73.98,26645226
2025-04-08,73.77,76.24,72.51,74.29,23398847
2025-04-09,78.38,80.92,75.46,77.41,41510890
2025-04-10,78.35,80.77,74.93,78.10,32923836
2025-04-11,79.66,83.38,73.59,78.11,34832628
2025-04-14,79.58,81.99,78.09,80.06,36416680
2025-04-15,82.30,83.79,80.31,81.34,27272815
2025-04-16,79.97,81.73,78.54,80.00,31375019
2025-04-17,82.32,84.87,77.73,81.00,33569817
2025-04-18,81.15,83.50,79.52,80.89,40257858
2025-04-21,80.73,83.13,78.03,80.84,25289076
2025-04-22,83.59,85.50,81.84,83.48,24202188
2025-04-23,82.90,87.12,81.04,82.67,42253156
2025-04-24,82.60,84.25,81.25,82.96,31722091
2025-04-25,82.99,84.62,81.62,82.88,42316574
2025-04-28,85.60,87.59,82.82,84.60,30898089
2025-04-29,83.53,86.01,81.70,84.10,40522184
2025-04-30,84.29,86.58,81.04,84.26,22993793
2025-05-01,86.57,89.90,81.93,85.21,42725137
2025-05-02,87.96,89.07,85.44,86.82,40922694
2025-05-05,87.98,90.91,83.22,87.07,34239187
2025-05-06,87.10,90.67,81.40,86.36,47157730
2025-05-07,85.50,87.69,84.22,85.77,38533716
2025-05-08,86.79,90.90,84.94,87.75,43816276
2025-05-09,86.69,90.67,84.11,86.56,38169010
2025-05-12,89.58,92.04,85.59,87.90,30203733
2025-05-13,90.60,93.10,87.39,89.19,29345030
2025-05-14,90.21,93.16,88.01,90.19,28048838
2025-05-15,89.36,92.33,86.21,88.28,44136603
2025-05-16,87.75,89.17,86.57,87.54,42250925
2025-05-19,90.50,95.32,87.26,91.19,32440041
2025-05-20,91.12,93.44,87.99,90.56,31380590
2025-05-21,86.40,91.88,83.92,88.82,40792631
2025-05-22,91.28,94.77,87.70,90.24,20492710
2025-05-23,89.04,92.56,84.90,89.78,44400737
